"loc_x","loc_y","playoffs","shot_distance","shot_made_flag","seconds_to_end","game_year","game_month","away_home","action_type#Jump Shot","action_type#Driving Dunk Shot","action_type#Layup Shot","action_type#Running Jump Shot","action_type#Reverse Dunk Shot","action_type#Slam Dunk Shot","action_type#Driving Layup Shot","action_type#Turnaround Jump Shot","action_type#Reverse Layup Shot","action_type#Tip Shot","action_type#Running Hook Shot","action_type#Alley Oop Dunk Shot","action_type#Dunk Shot","action_type#Alley Oop Layup shot","action_type#Running Dunk Shot","action_type#Driving Finger Roll Shot","action_type#Running Layup Shot","action_type#Finger Roll Shot","action_type#Fadeaway Jump Shot","action_type#Follow Up Dunk Shot","action_type#Hook Shot","action_type#Turnaround Hook Shot","action_type#Jump Hook Shot","action_type#Running Finger Roll Shot","action_type#Jump Bank Shot","action_type#Turnaround Finger Roll Shot","action_type#Hook Bank Shot","action_type#Driving Hook Shot","action_type#Running Tip Shot","action_type#Running Reverse Layup Shot","action_type#Driving Finger Roll Layup Shot","action_type#Fadeaway Bank shot","action_type#Pullup Jump shot","action_type#Finger Roll Layup Shot","action_type#Turnaround Fadeaway shot","action_type#Driving Reverse Layup Shot","action_type#Driving Slam Dunk Shot","action_type#Step Back Jump shot","action_type#Turnaround Bank shot","action_type#Reverse Slam Dunk Shot","action_type#Floating Jump shot","action_type#Putback Slam Dunk Shot","action_type#Running Bank shot","action_type#Driving Bank shot","action_type#Driving Jump shot","action_type#Putback Layup Shot","action_type#Putback Dunk Shot","action_type#Running Finger Roll Layup Shot","action_type#Pullup Bank shot","action_type#Running Slam Dunk Shot","action_type#Cutting Layup Shot","action_type#Driving Floating Jump Shot","action_type#Running Pull-Up Jump Shot","action_type#Tip Layup Shot","action_type#Driving Floating Bank Jump Shot","combined_shot_type#Jump Shot","combined_shot_type#Dunk","combined_shot_type#Layup","combined_shot_type#Tip Shot","combined_shot_type#Hook Shot","combined_shot_type#Bank Shot","season#2000-01","season#2001-02","season#2002-03","season#2003-04","season#2004-05","season#2005-06","season#2006-07","season#2007-08","season#2008-09","season#2009-10","season#2010-11","season#2011-12","season#2012-13","season#2013-14","season#2014-15","season#2015-16","season#1996-97","season#1997-98","season#1998-99","season#1999-00","shot_type#2PT Field Goal","shot_type#3PT Field Goal","shot_zone_area#Left Side(L)","shot_zone_area#Left Side Center(LC)","shot_zone_area#Right Side Center(RC)","shot_zone_area#Center(C)","shot_zone_area#Right Side(R)","shot_zone_area#Back Court(BC)","shot_zone_basic#Mid-Range","shot_zone_basic#Restricted Area","shot_zone_basic#In The Paint (Non-RA)","shot_zone_basic#Above the Break 3","shot_zone_basic#Right Corner 3","shot_zone_basic#Backcourt","shot_zone_basic#Left Corner 3","shot_zone_range#8-16 ft.","shot_zone_range#16-24 ft.","shot_zone_range#Less Than 8 ft.","shot_zone_range#24+ ft.","shot_zone_range#Back Court Shot","opponent#POR","opponent#UTA","opponent#VAN","opponent#LAC","opponent#HOU","opponent#SAS","opponent#DEN","opponent#SAC","opponent#CHI","opponent#GSW","opponent#MIN","opponent#IND","opponent#SEA","opponent#DAL","opponent#PHI","opponent#DET","opponent#MIL","opponent#TOR","opponent#MIA","opponent#PHX","opponent#CLE","opponent#NJN","opponent#NYK","opponent#CHA","opponent#WAS","opponent#ORL","opponent#ATL","opponent#MEM","opponent#BOS","opponent#NOH","opponent#NOP","opponent#OKC","opponent#BKN","period#1","period#2","period#3","period#4","period#Others"
-1.49126673566118,-1.03522591715873,0,0.164335825572392,"No",1.44246136071842,2000,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.982514131267093,0.49621791880388,0,0.270846562803368,"Yes",0.688780842460735,2000,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.18876930534336,0.949979055385393,0,0.909910986189227,"No",0.434353661138075,2000,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.064942469770625,-1.03522591715873,0,-1.43332523289226,"Yes",0.275936736918306,2000,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1.38224832043387,-1.16001022971864,0,0.0578250883414154,"No",1.2024357179612,2000,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.064942469770625,-1.03522591715873,0,-1.43332523289226,"Yes",1.01041520375542,2000,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.655458885585184,0.189929151611359,0,-0.155196386120538,"Yes",0.242333146932295,2000,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.364743111645709,0.382777634658502,0,-0.155196386120538,"No",-0.50654685847025,2000,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.918920055717833,1.66465284550128,0,1.22944319788216,"No",-0.986598143984701,2000,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.03432655043802,0.405465691487578,0,0.377357300034345,"Yes",1.62488084921392,2000,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.673628621456401,0.212617208440435,0,-0.155196386120538,"Yes",0.515962379675532,2000,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.918920055717833,-0.989849803500574,0,-0.474728597813467,"No",-0.756173526937765,2000,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.273894432289623,-0.502056581675448,0,-0.900771546737373,"No",-1.17861865819048,2000,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.498319342237108,1.14282753843254,0,0.696889511727274,"No",-1.31303301813453,2000,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
